name,value,rank
뚝섬유원지역 1번출구 앞,2945,1
여의나루역 1번출구 앞,2775,2
마포구민체육센터 앞,2185,3
봉림교 교통섬,1598,4
월드컵공원,1512,5
옥수역 3번출구,1507,6
"고속터미널역 8-1번, 8-2번 출구 사이",1230,7
청계천 생태교실 앞,1188,8
당산육갑문,1159,9
독산보도육교 앞 자전거 보관소,1103,10
